
****************************************

  MemTrackerLog 

       Nov 15 2024  
       01:56:46  

****************************************

External Libs: 

Leak(174)  48 bytes ref:1105 
Leak(175)  32 bytes ref:1108 
Leak(176)  32 bytes ref:1111 
Leak(177)  32 bytes ref:1114 
Leak(178)  32 bytes ref:1121 
Leak(179)  32 bytes ref:1124 
Leak(180)  32 bytes ref:1127 
Leak(181)  32 bytes ref:1130 
Leak(182)  32 bytes ref:1133 
Leak(183)  32 bytes ref:1136 
Leak(184)  32 bytes ref:1139 
Leak(185)  32 bytes ref:1142 
Leak(186)  32 bytes ref:1145 
Leak(187)  32 bytes ref:1148 
Leak(188)  32 bytes ref:1151 
Leak(189)  32 bytes ref:1154 
Leak(190)  32 bytes ref:1157 
Leak(191)  32 bytes ref:1160 
Leak(192)  32 bytes ref:1163 
Leak(193)  32 bytes ref:1166 
Leak(194)  32 bytes ref:1169 
Leak(195)  32 bytes ref:1172 
Leak(196)  32 bytes ref:1175 
Leak(197)  32 bytes ref:1178 
Leak(198)  32 bytes ref:1181 
Leak(199)  32 bytes ref:1184 
Leak(200)  32 bytes ref:1187 
Leak(201)  32 bytes ref:1190 
Leak(202)  32 bytes ref:1193 
Leak(203)  32 bytes ref:1196 
Leak(204)  32 bytes ref:1199 
Leak(205)  32 bytes ref:1202 
Leak(206)  32 bytes ref:1205 
Leak(207)  32 bytes ref:1208 
Leak(208)  32 bytes ref:1211 
Leak(209)  32 bytes ref:1214 
Leak(210)  32 bytes ref:1217 
Leak(211)  32 bytes ref:1220 
Leak(212)  32 bytes ref:1223 
Leak(213)  32 bytes ref:1226 
Leak(214)  32 bytes ref:1229 
Leak(215)  32 bytes ref:1232 
Leak(216)  32 bytes ref:1235 
Leak(217)  32 bytes ref:1238 
Leak(218)  32 bytes ref:1241 
Leak(219)  48 bytes ref:1244 
Leak(220)  32 bytes ref:1247 
Leak(221)  32 bytes ref:1250 
Leak(222)  32 bytes ref:1253 
Leak(223)  32 bytes ref:1256 
Leak(224)  32 bytes ref:1259 
Leak(225)  32 bytes ref:1262 
Leak(226)  32 bytes ref:1265 
Leak(227)  32 bytes ref:1268 
Leak(228)  32 bytes ref:1271 
Leak(229)  32 bytes ref:1274 
Leak(230)  32 bytes ref:1277 
Leak(231)  8887 bytes ref:1278 
Leak(232)  8 bytes ref:1279 
Leak(233)  8 bytes ref:1280 
Leak(234)  8 bytes ref:1281 
Leak(235)  8 bytes ref:1282 
Leak(236)  8 bytes ref:1283 
Leak(237)  8 bytes ref:1284 
Leak(238)  8 bytes ref:1285 
Leak(239)  8 bytes ref:1286 
Leak(240)  8 bytes ref:1287 
Leak(241)  8 bytes ref:1288 
Leak(242)  8 bytes ref:1289 
Leak(243)  8 bytes ref:1290 
Leak(244)  8 bytes ref:1291 
Leak(245)  8 bytes ref:1292 
Leak(246)  8 bytes ref:1293 
Leak(247)  8 bytes ref:1294 
Leak(248)  8 bytes ref:1295 
Leak(249)  8 bytes ref:1296 
Leak(250)  8 bytes ref:1297 
Leak(251)  8 bytes ref:1298 
Leak(252)  8 bytes ref:1299 
Leak(253)  8 bytes ref:1300 
Leak(254)  8 bytes ref:1301 
Leak(255)  8 bytes ref:1302 
Leak(256)  8 bytes ref:1303 
Leak(257)  8 bytes ref:1304 
Leak(258)  8 bytes ref:1305 
Leak(259)  8 bytes ref:1306 
Leak(260)  8 bytes ref:1307 
Leak(261)  8 bytes ref:1308 
Leak(262)  8 bytes ref:1309 
Leak(263)  8 bytes ref:1310 
Leak(264)  8 bytes ref:1311 
Leak(265)  8 bytes ref:1312 
Leak(266)  8 bytes ref:1313 
Leak(267)  8 bytes ref:1314 
Leak(268)  8 bytes ref:1315 
Leak(269)  8 bytes ref:1316 
Leak(270)  8 bytes ref:1317 
Leak(271)  8 bytes ref:1318 
Leak(272)  8 bytes ref:1319 
Leak(273)  8 bytes ref:1320 
Leak(274)  8 bytes ref:1321 
Leak(275)  8 bytes ref:1322 
Leak(276)  8 bytes ref:1323 
Leak(277)  8 bytes ref:1324 
Leak(278)  8 bytes ref:1325 
Leak(279)  8 bytes ref:1326 
Leak(280)  8 bytes ref:1327 
Leak(281)  8 bytes ref:1328 
Leak(282)  8 bytes ref:1329 
Leak(283)  8 bytes ref:1330 
Leak(284)  8 bytes ref:1331 
Leak(285)  8 bytes ref:1332 
Leak(286)  8 bytes ref:1333 
Leak(287)  8 bytes ref:1334 
Leak(288)  8 bytes ref:1335 
Leak(289)  8 bytes ref:1336 
Leak(290)  8 bytes ref:1337 
Leak(291)  8 bytes ref:1338 
Leak(292)  8 bytes ref:1339 
Leak(293)  8 bytes ref:1340 
Leak(294)  8 bytes ref:1341 
Leak(295)  8 bytes ref:1342 
Leak(296)  8 bytes ref:1343 
Leak(297)  8 bytes ref:1344 
Leak(298)  8 bytes ref:1345 
Leak(299)  8 bytes ref:1346 
Leak(300)  8 bytes ref:1347 
Leak(301)  8 bytes ref:1348 
Leak(302)  8 bytes ref:1349 
Leak(303)  8 bytes ref:1350 
Leak(304)  8 bytes ref:1351 
Leak(305)  8 bytes ref:1352 
Leak(306)  8 bytes ref:1353 
Leak(307)  8 bytes ref:1354 
Leak(308)  8 bytes ref:1355 
Leak(309)  8 bytes ref:1356 
Leak(310)  8 bytes ref:1357 
Leak(311)  8 bytes ref:1358 
Leak(312)  8 bytes ref:1359 
Leak(313)  8 bytes ref:1360 
Leak(314)  8 bytes ref:1361 
Leak(315)  8 bytes ref:1362 
Leak(316)  8 bytes ref:1363 
Leak(317)  8 bytes ref:1364 
Leak(318)  8 bytes ref:1365 
Leak(319)  8 bytes ref:1366 
Leak(320)  8 bytes ref:1367 
Leak(321)  8 bytes ref:1368 
Leak(322)  8 bytes ref:1369 
Leak(323)  8 bytes ref:1370 
Leak(324)  8 bytes ref:1371 
Leak(325)  8 bytes ref:1372 
Leak(326)  8 bytes ref:1373 
Leak(327)  8 bytes ref:1374 
Leak(328)  8 bytes ref:1375 
Leak(329)  8 bytes ref:1376 
Leak(330)  8 bytes ref:1377 
Leak(331)  8 bytes ref:1378 
Leak(332)  8 bytes ref:1379 
Leak(333)  8 bytes ref:1380 
Leak(334)  8 bytes ref:1381 
Leak(335)  8 bytes ref:1382 
Leak(336)  8 bytes ref:1383 
Leak(337)  8 bytes ref:1384 
Leak(338)  8 bytes ref:1385 
Leak(339)  8 bytes ref:1386 
Leak(340)  8 bytes ref:1387 
Leak(341)  8 bytes ref:1388 
Leak(342)  8 bytes ref:1389 
Leak(343)  8 bytes ref:1390 
Leak(344)  8 bytes ref:1391 
Leak(345)  8 bytes ref:1392 
Leak(346)  8 bytes ref:1393 
Leak(347)  8 bytes ref:1394 
Leak(348)  8 bytes ref:1395 
Leak(349)  8 bytes ref:1396 
Leak(350)  8 bytes ref:1397 
Leak(351)  8 bytes ref:1398 
Leak(352)  8 bytes ref:1399 
Leak(353)  8 bytes ref:1400 
Leak(354)  8 bytes ref:1401 
Leak(355)  8 bytes ref:1402 
Leak(356)  8 bytes ref:1403 
Leak(357)  8 bytes ref:1404 
Leak(358)  8 bytes ref:1405 
Leak(359)  8 bytes ref:1406 
Leak(360)  8 bytes ref:1407 
Leak(361)  8 bytes ref:1408 
Leak(362)  8 bytes ref:1409 
Leak(363)  8 bytes ref:1410 
Leak(364)  8 bytes ref:1411 
Leak(365)  8 bytes ref:1412 
Leak(366)  8 bytes ref:1413 
Leak(367)  8 bytes ref:1414 
Leak(368)  8 bytes ref:1415 
Leak(369)  8 bytes ref:1416 
Leak(370)  8 bytes ref:1417 
Leak(371)  8 bytes ref:1418 
Leak(372)  8 bytes ref:1419 
Leak(373)  8 bytes ref:1420 
Leak(374)  8 bytes ref:1421 
Leak(375)  8 bytes ref:1422 
Leak(376)  8 bytes ref:1423 
Leak(377)  8 bytes ref:1424 
Leak(378)  8 bytes ref:1425 
Leak(379)  8 bytes ref:1426 
Leak(380)  8 bytes ref:1427 
Leak(381)  8 bytes ref:1428 
Leak(382)  8 bytes ref:1429 
Leak(383)  8 bytes ref:1430 
Leak(384)  8 bytes ref:1431 
Leak(385)  8 bytes ref:1432 
Leak(386)  8 bytes ref:1433 
Leak(387)  8 bytes ref:1434 
Leak(388)  8 bytes ref:1435 
Leak(389)  8 bytes ref:1436 
Leak(390)  8 bytes ref:1437 
